investor_raw,company_id,company_canonical,is_consortium,members,ownership,review_note,_count,_musd
Sinochem,sinochem-holdings,Sinochem Holdings,FALSE,,Central SOE,"SASAC central SOE. Desde 2021 bajo Sinochem Holdings (fusion con ChemChina), 100% SASAC. Fuente: Caixin/SASAC 2021. -> FUSIONADO con chemchina bajo canonico nuevo Sinochem Holdings (aprobado Francisco, correo 2026-07-02).",3,4050
COFCO,cofco,COFCO,FALSE,,Central SOE,"SASAC central SOE (China Oil & Foodstuffs Corp). Fuente: Wikipedia/SASAC -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=COFCO), reemplaza estimacion web previa (era SASAC).",7,3723
Ganfeng Lithium,ganfeng-lithium,Ganfeng Lithium,FALSE,,POE,"Privada: fundada por Li Liangbin 2000, cotiza SZSE/HKEX. Fuente: Wikipedia Ganfeng",7,3053
North Lima Power Grid Holding,north-lima-power-grid-holding,North Lima Power Grid,FALSE,,UNKNOWN,Vehiculo de adquisicion en Peru; controlador ultimo no confirmado (probable State Grid/CSG). Verificar con cliente,1,2900
China Railway First Group,china-railway-group,China Railway Group,FALSE,,Central SOE,"Buro 1 -> filial de China Railway Group (CREC), SASAC central SOE. Recomendacion: agrupar bajo china-railway-group. Fuente: Wikipedia CREC -> FUSIONADO a id china-railway-group (decision 2 aprobada, 2026-07-01).",2,2859
CRRC,crrc,CRRC,FALSE,,Central SOE,SASAC central SOE (CRRC Corporation; fusion CNR+CSR 2015),1,2600
"Zijin, Tongling, and Xiamen C&D",zijin-tongling-and-xiamen-c-d,"Zijin, Tongling, and Xiamen C&D",TRUE,zijin|tongling-nonferrous|xiamen-cd,MIXED,"CONSORCIO. Zijin (SOE), Tongling Nonferrous (SOE Anhui), Xiamen C&D (SOE Xiamen). Definir atribucion de monto",1,2500
China Railway 16th Bureau Group,china-railway-construction-corporation,China Railway Construction,FALSE,,Central SOE,"Buro 16 -> filial de CRCC (buros 11-25), SASAC central SOE. Recomendacion: agrupar bajo china-railway-construction-corporation. Fuente: Wikipedia CRCC -> FUSIONADO a id china-railway-construction-corporation (decision 2 aprobada, 2026-07-01).",1,2500
China Construction America,china-state-construction-engineering-corporation,China State Construction Engineering,FALSE,,Local SOE,"Filial USA de China State Construction Engineering Corp (CSCEC), SASAC central SOE. Recomendacion: agrupar bajo CSCEC -> FUSIONADO a id china-state-construction-engineering-corporation (decision 2 aprobada, 2026-07-01).",4,2498
Sinomach (China Machinery Engineering Corporation),sinomach,Sinomach,FALSE,,Central SOE,SASAC central SOE. Nota: el raw mezcla matriz Sinomach con filial CMEC; clasificado como matriz. Fuente: SASAC/Wikipedia Sinomach,1,2470
Xinjiang TBEA Group,xinjiang-tbea-group,TBEA,FALSE,,POE,"TBEA Co. - empresa privada de equipos electricos, Xinjiang. Verificar nivel de participacion estatal local -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Xinjiang TBEA Group), reemplaza estimacion web previa (era POE).",1,2390
China General Nuclear Power Group,china-general-nuclear-power-group,China General Nuclear Power,FALSE,,Central SOE,SASAC central SOE (CGN),6,2280
China Harbour Engineering Company,china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,"Filial de CCCC (China Communications Construction Co), SASAC central SOE. Recomendacion: agrupar bajo CCCC -> FUSIONADO a id china-communications-construction-company (decision 2 aprobada, 2026-07-01).",6,2222
China National Machinery Industry Corporation,sinomach,Sinomach,FALSE,,Central SOE,China National Machinery Industry Corporation ES Sinomach (misma matriz). Fusionado a id sinomach. Fuente: Wikipedia/SASAC,7,1959
"Taiyuan Iron, CITIC, and Baosteel",taiyuan-iron-citic-and-baosteel,"Taiyuan Iron, CITIC, and Baosteel",TRUE,taiyuan-iron|citic|baosteel,MIXED,"CONSORCIO. TISCO (SOE Shanxi), CITIC (SOE central), Baosteel/Baowu (SASAC central). Definir atribucion de monto",1,1950
China Molybdenum,china-molybdenum,CMOC,FALSE,,POE,"Privada: controlador Cathay Fortune Corp (Yu Yong) ~25%. Fuente: Wikipedia/Grokipedia CMOC -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=China Molybdenum), reemplaza estimacion web previa (era POE).",2,1915
China Communications Construction Company and China Railway Construction Corporation,cccc-crcc-consortium,China Communications Construction Company and China Railway Construction,TRUE,china-communications-construction-company|china-railway-construction-corporation,MIXED,"CONSORCIO. CCCC y CRCC, ambas SASAC central. Definir atribucion de monto",1,1800
COFCO and Hopu Investments,cofco-and-hopu-investments,COFCO and Hopu Investments,TRUE,cofco|hopu-investments,MIXED,"CONSORCIO. COFCO (SASAC) + Hopu Investments (fondo PE privado, Fang Fenglei). Definir atribucion de monto",1,1500
China Communications Construction Company and China Harbour Engineering Company,cccc-chec-consortium,China Communications Construction Company and China Harbour Engineering,TRUE,china-communications-construction-company|china-communications-construction-company,MIXED,CONSORCIO. CHEC es filial de CCCC -> en realidad mismo grupo (SASAC). Revisar si es consorcio real o doble conteo matriz-filial. Definir atribucion,1,1420
Shandong Kerui,shandong-kerui,Shandong Kerui Petroleum Equipment,FALSE,,POE,Empresa privada de equipos petroleros (Shandong Kerui Group). Verificar,2,1408
China National Petroleum Corporation and China National Offshore Oil Corporation,china-national-petroleum-corporation-and,China National Petroleum Corporation and China National Offshore Oil,TRUE,china-national-petroleum-corporation|china-national-offshore-oil-corporation,MIXED,"CONSORCIO. CNPC y CNOOC, SASAC distintas. Definir atribucion de monto",1,1400
Dongfang Electric,dongfang-electric,Dongfang Electric,FALSE,,Central SOE,"SASAC central SOE (DEC) -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Dongfang Electric Corporation), reemplaza estimacion web previa (era SASAC).",2,1400
China Railway Construction Corporation and Tongling Nonferrous Metal Group,china-railway-construction-corporation-a,China Railway Construction Corporation and Tongling Nonferrous Metal,TRUE,china-railway-construction-corporation|tongling-nonferrous,MIXED,CONSORCIO. CRCC (SASAC) + Tongling Nonferrous (SOE Anhui). Definir atribucion de monto,1,1400
COSCO,cosco,COSCO Shipping,FALSE,,Central SOE,SASAC central SOE (China COSCO Shipping Corp),2,1213
Beijing Limawei,beijing-limawei,Beijing Limawei,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar con cliente,1,1200
CITIC,citic,CITIC,FALSE,,Central SOE,"CITIC Group Corp = SOE central (controla 58% de CITIC Ltd). Financiera/conglomerado, no SASAC no-financiera. Fuente: Wikipedia CITIC",1,1190
China Civil Engineering Construction Corporation,china-railway-construction-corporation,China Railway Construction,FALSE,,Central SOE,"CCECC = filial de China Railway Construction Corp (CRCC), SASAC central. Recomendacion: agrupar bajo CRCC -> FUSIONADO a id china-railway-construction-corporation (decision 2 aprobada, 2026-07-01).",3,1139
CITIC Agri Fund,citic,CITIC,FALSE,,Central SOE,"Fondo JV creado 2016 por CITIC Agriculture + Longping + otras. Fuente: Wikipedia CITIC. -> FUSIONADO a id citic (aprobado Francisco, correo 2026-07-02). CITIC Guoan sigue separado (recapitalizada, CITIC solo 20.95%).",1,1100
China Communications Construction Company,china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,SASAC central SOE (CCCC),5,1044
Chery,chery,Chery Automobile,FALSE,,MIXED,SOE municipal: controlada por gobierno de Wuhu (Anhui). Fuente: Wikipedia Chery,3,1030
Meituan,meituan,Meituan,FALSE,,POE,Privada: plataforma tech cotizada HKEX (Wang Xing). Fuente: Wikipedia Meituan,1,1000
CEIEC,ceiec,China National Electronics Import & Export,FALSE,,Central SOE,"CEIEC = filial de China Electronics Technology Group (CETC), SASAC central SOE -> OWNERSHIP CORREGIDO a SOE segun legacy/data/latam.json (clasificacion original ICLAC, investor=CEIEC), reemplaza estimacion web previa (era SASAC).",1,1000
Lanzhou Haimo Technologies,lanzhou-haimo-technologies,Lanzhou Haimo Technologies,FALSE,,UNKNOWN,Empresa tecnologia petrolera; control ultimo no confirmado. Verificar,1,970
Shandong Gold,shandong-gold,Shandong Gold,FALSE,,Local SOE,SOE provincial: controlada por gobierno de Shandong. Fuente: Wikipedia Shandong Gold,1,960
Joyvio,joyvio,Joyvio,FALSE,,MIXED,Privada: filial de Legend Holdings (privada). Fuente: Legend Holdings/Fruitnet,2,936
China Merchants Group,china-merchants-group,China Merchants,FALSE,,Central SOE,SASAC central SOE,1,925
Citic Guoan,citic-guoan,CITIC Guoan,FALSE,,MIXED,"Recapitalizada 2014: CITIC Group solo 20.95%, resto capital privado. NO claramente estatal ni filial controlada. Dejo separado de citic. Fuente: Wikipedia CITIC Guoan",1,860
Great Wall,great-wall-motors,Great Wall Motor,FALSE,,POE,Automotriz privada (Wei Jianjun). HOMONIMO: NO fusionar con China Great Wall Industry (aeroespacial/CASC). Fuente: Wikipedia Great Wall Motor,2,850
BYD,byd,BYD,FALSE,,POE,Privada: cotizada; fundador Wang Chuanfu controlador. Fuente: Wikipedia BYD,5,822
CSR Corporation,crrc,CRRC,FALSE,,Central SOE,CSR Corp = predecesora fusionada en CRRC (2015). Fusionado a id crrc. Fuente: Wikipedia CRRC/CSR,1,808
Pacific Hydro,state-power-investment-corporation,State Power Investment,FALSE,,Central SOE,"Adquirida por State Power Investment Corp (SPIC) en 2016, SASAC central. Recomendacion: clasificar por matriz SPIC -> FUSIONADO a id state-power-investment-corporation (decision 2 aprobada, 2026-07-01).",3,787
Industrial and Commercial Bank of China,industrial-and-commercial-bank-of-china,Industrial and Commercial Bank of China,FALSE,,Central SOE,"FALSO 'and' (nombre legitimo). Banco estatal Big Four (control via Central Huijin/MOF, no SASAC). Fuente: Wikipedia ICBC. -> Fila 'ICBC' fusionada a este id (confirmado Francisco por WhatsApp, 2026-07-07).",3,780
China Construction Bank,china-construction-bank,China Construction Bank,FALSE,,Central SOE,Banco estatal Big Four (Central Huijin). Fuente: Wikipedia CCB,2,752
Xinjiang Goldwind,goldwind,Goldwind,FALSE,,MIXED,"Variante de Goldwind (fusionado a id goldwind). Propiedad mixta/ambigua: cotizada, mayor accionista China Three Gorges ~21%, sin controlador >50%. Fuente: Wikipedia Goldwind -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Xinjiang Goldwind), reemplaza estimacion web previa (era UNKNOWN).",3,720
Tencent,tencent,Tencent,FALSE,,POE,Privada: cotizada HKEX; mayor accionista Naspers/Prosus. Fuente: Wikipedia Tencent,6,716
Harbin Electric International,harbin-electric,Harbin Electric,FALSE,,Central SOE,HEI = filial 100% de Harbin Electric Group (SASAC central). Fusionado a id harbin-electric. Fuente: SASAC/BHRRC,1,600
Didi Chuxing,didi-chuxing,DiDi Global,FALSE,,POE,Privada: cotizada (fundador Cheng Wei); aunque con participaciones estatales minoritarias. Fuente: Wikipedia DiDi,4,584
China National Electric Engineering Company and China Machinery Engineering Corporation,china-national-electric-engineering-comp,China National Electric Engineering Company and China Machinery Engineering,TRUE,cneec|sinomach,MIXED,CONSORCIO. CNEEC (filial Sinomach) + CMEC (filial Sinomach) -> ambas del grupo Sinomach (SASAC). Posible doble conteo intra-grupo. Definir atribucion,1,553
Wison Energy,wison-energy,Wison Engineering,FALSE,,POE,Privada: Wison Group (Hua Bangsong). Fuente: Wikipedia Wison,1,550
China Railway Tenth Group,china-railway-group,China Railway Group,FALSE,,Central SOE,"Buro 10 -> filial de China Railway Group (CREC), SASAC central. Recomendacion: agrupar bajo china-railway-group. Fuente: CREC -> FUSIONADO a id china-railway-group (decision 2 aprobada, 2026-07-01).",1,550
Sinosteel,sinosteel,Sinosteel,FALSE,,Central SOE,SASAC central SOE (China Sinosteel Corp),1,546
Shanghai Pengxin,shanghai-pengxin,Shanghai Pengxin,FALSE,,POE,Privada: conglomerado inmobiliario/agro (Jiang Zhaobai). Fuente: Bloomberg/Wikipedia,2,540
Sany Heavy,sany-heavy,Sany Heavy Industry,FALSE,,POE,Privada: Sany Group (Liang Wengen). Fuente: Wikipedia Sany,2,500
Fosun International,fosun-international,Fosun International,FALSE,,POE,"Privada: mayor conglomerado privado, fundador Guo Guangchang. Fuente: Wikipedia Fosun",6,496
HNA,hna,HNA,FALSE,,POE,"Estructura de propiedad opaca historicamente (fundaciones/empleados); colapso y reestructuracion 2021 bajo Liaoning Fangda (privado). Dejo UNKNOWN. Verificar epoca de inversion -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=HNA), reemplaza estimacion web previa (era UNKNOWN).",1,450
Beijing Construction Engineering Group,beijing-construction-engineering-group,Beijing Construction Engineering,FALSE,,Local SOE,SOE municipal: controlada por gobierno de Beijing (BCEG),1,425
"Baiyin Nonferrous Group Co., Ltd",baiyin-nonferrous-group-co-ltd,Baiyin Nonferrous,FALSE,,Local SOE,SOE provincial Gansu (Baiyin Nonferrous Metals). Verificar,1,420
China Three Gorges (via EDP Renewables),china-three-gorges,China Three Gorges,FALSE,,Central SOE,Alias: inversion via vehiculo EDP. Control ultimo CTG (SASAC central). Fusionado a id china-three-gorges,1,420
China Railway Tunnel Group,china-railway-group,China Railway Group,FALSE,,Central SOE,"Filial de China Railway Group (CREC), SASAC central. Recomendacion: agrupar bajo china-railway-group. Fuente: BHRRC -> FUSIONADO a id china-railway-group (decision 2 aprobada, 2026-07-01).",1,420
Terminal Portuario Jinzhao,terminal-portuario-jinzhao,Terminal Portuario Jinzhao,FALSE,,UNKNOWN,Vehiculo en Peru (proyecto puerto Marcona); controlador chino no confirmado (Jinzhao Mining). Verificar,1,405
CSR Sifang,crrc,CRRC,FALSE,,Central SOE,CSR Sifang = predecesora integrada en CRRC (Qingdao Sifang). Fusionado a id crrc. Fuente: Wikipedia CRRC Qingdao Sifang,6,394
Honbridge Holdings,honbridge-holdings,Honbridge,FALSE,,POE,Privada: holding inversion cotizado HK (recursos). Verificar,1,390
China Road and Bridge Corporation,china-communications-construction-company,China Communications Construction,FALSE,,Central SOE,"FALSO 'and'. CRBC = filial de CCCC (SASAC central). Recomendacion: agrupar bajo CCCC. Fuente: Wikipedia CRBC -> FUSIONADO a id china-communications-construction-company (decision 2 aprobada, 2026-07-01).",5,376
CAMC and Sinopharm,camc-and-sinopharm,CAMC and Sinopharm,TRUE,camce|sinopharm,MIXED,"CONSORCIO. CAMCE (filial Sinomach, SASAC) + Sinopharm (SASAC central). Definir atribucion",1,372
China International Water and Electric Corporation,china-three-gorges,China Three Gorges,FALSE,,Central SOE,"FALSO 'and'. CWE = filial de China Three Gorges (SASAC central). Recomendacion: agrupar bajo CTG -> FUSIONADO a id china-three-gorges (decision 2 aprobada, 2026-07-01).",1,350
China Railway Engineering Corporation,china-railway-engineering-corporation,China Railway Engineering,FALSE,,Central SOE,"CRECG = matriz estatal de China Railway Group (CREC), SASAC central. Posible mismo nodo que china-railway-group (matriz vs cotizada). Fuente: Wikipedia CREC",3,347
China Nonferrous Metal Mining Group,china-nonferrous-metal-mining-group,China Nonferrous Metal Mining,FALSE,,Central SOE,SASAC central SOE (CNMC),1,340
CED Prometheus,ced-prometheus,CED Prometheus,FALSE,,POE,"Vehiculo de inversion; control ultimo no confirmado. Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=CED Prometheus), reemplaza estimacion web previa (era UNKNOWN).",1,330
BBCA Group,bbca-group,BBCA,FALSE,,POE,Anhui BBCA Biochemical - cotizada; verificar control (probable mixto provincial). Dejar revisar,1,320
Huawei,huawei,Huawei,FALSE,,POE,Privada: propiedad de empleados via sindicato/Huawei Investment Holding (Ren Zhengfei fundador). Fuente: Wikipedia Huawei,7,301
China Investment Corporation,china-investment-corporation,China Investment Corporation,FALSE,,Central SOE,"Fondo soberano estatal (bajo MOF/State Council, no SASAC). Fuente: Wikipedia CIC",1,300
Xuzhou Construction Machinery,xuzhou-construction-machinery,XCMG,FALSE,,Local SOE,XCMG - SOE municipal Xuzhou (Jiangsu); reforma mixta parcial. Fuente: Wikipedia XCMG,2,300
Sinovac,sinovac,Sinovac Biotech,FALSE,,POE,Privada: biofarmaceutica cotizada (Yin Weidong). Fuente: Wikipedia Sinovac,1,300
ZTE,zte,ZTE,FALSE,,MIXED,"Mayor accionista Zhongxingxin controlado por SOEs (Xi'an Microelectronics/Aerospace). Control estatal de facto. Fuente: Wikipedia ZTE -> OWNERSHIP CORREGIDO a SASAC segun legacy/data/latam.json (clasificacion original ICLAC, investor=ZTE), reemplaza estimacion web previa (era SOE).",6,290
JA Solar,ja-solar,JA Solar,FALSE,,POE,Privada: fabricante solar (Jin Baofang). Fuente: Wikipedia JA Solar,1,286
China National Building Material,china-national-building-material,China National Building Material,FALSE,,Central SOE,SASAC central SOE (CNBM; ahora bajo Sinoma/CNBM group). Fuente: Wikipedia CNBM,1,280
Yutong,yutong,Yutong Bus,FALSE,,POE,Zhengzhou Yutong - controlador via gobierno municipal Zhengzhou (Yutong Group). Fuente: Wikipedia Yutong,1,278
HydroChina,powerchina,Power Construction Corporation of China,FALSE,,Central SOE,"HydroChina = predecesora integrada en PowerChina (SASAC central). Recomendacion: agrupar bajo powerchina -> FUSIONADO a id powerchina (decision 2 aprobada, 2026-07-01).",2,265
Shanghai Shemar Power,shanghai-shemar-power,Shanghai Shemar Power Equipment,FALSE,,POE,Privada: fabricante de aisladores compuestos. Verificar,1,260
CAMCE Engineering and China National Electronics Import & Export Corporation,camce-engineering-and-china-national-ele,CAMCE Engineering and China National Electronics Import & Export,TRUE,camce|ceiec,MIXED,"CONSORCIO. CAMCE (filial Sinomach, SASAC) + CEIEC (filial CETC, SASAC). Definir atribucion",1,240
China United Engineering and Dongfang Turbine,china-united-engineering-and-dongfang-tu,China United Engineering and Dongfang Turbine,TRUE,china-united-engineering|dongfang-electric,MIXED,"CONSORCIO. China United Engineering (filial Sinomach, SASAC) + Dongfang Turbine (filial Dongfang Electric, SASAC). Definir atribucion",1,236
China Metallurgical Group,china-metallurgical-group,China Metallurgical Group,FALSE,,Central SOE,MCC - filial de China Minmetals (SASAC central). Fuente: Wikipedia MCC/Minmetals,1,230
China Railway Group,china-railway-group,China Railway Group,FALSE,,Central SOE,"CREC = cotizada de China Railway Engineering Corp (CRECG), SASAC central. Buros 1-10. Fuente: Wikipedia CREC",1,220
ChemChina,sinochem-holdings,Sinochem Holdings,FALSE,,Central SOE,"SASAC central SOE (China National Chemical Corp). Desde 2021 bajo Sinochem Holdings (100% SASAC). Fuente: Caixin/SASAC 2021. -> FUSIONADO con sinochem bajo canonico nuevo Sinochem Holdings (aprobado Francisco, correo 2026-07-02).",2,217
Nextview,nextview,Nextview,FALSE,,POE,"Entidad poco documentada; control ultimo no confirmado. Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Nextview), reemplaza estimacion web previa (era UNKNOWN).",1,210
Longsys,longsys,Longsys,FALSE,,POE,Privada: Shenzhen Longsys Electronics (memoria); cotizada. Verificar,1,205
CMEC,sinomach,Sinomach,FALSE,,Central SOE,"CMEC = filial de Sinomach (SASAC central). Decision cliente: fusionar con sinomach? Fuente: Wikipedia CMEC/SASAC -> FUSIONADO a id sinomach (decision 2 aprobada, 2026-07-01).",1,200
JCHX Mining Management,jchx-mining-management,JCHX Mining Management,FALSE,,POE,Privada: cotizada Shanghai (servicios mineros). Verificar,1,180
China Communications Bank,china-communications-bank,Bank of Communications,FALSE,,Local SOE,Banco estatal (Bank of Communications / BoCom); MOF mayor accionista. Fuente: Wikipedia BoCom,1,173
Bosai Minerals,bosai-minerals,Bosai Minerals,FALSE,,POE,Privada: top private enterprise Chongqing. Fuente: ichongqing/Dun&Bradstreet,2,160
Midea Group,midea-group,Midea,FALSE,,POE,Privada: electrodomesticos (He Xiangjian). Fuente: Wikipedia Midea,4,146
Ant Financial,ant-financial,Ant Group,FALSE,,POE,Privada: afiliada a Alibaba (Jack Ma control efectivo). Fuente: Wikipedia Ant Group,1,146
Revotech Asia Limited,revotech-asia-limited,Revotech Asia,FALSE,,UNKNOWN,Entidad poco documentada; control ultimo no confirmado. Verificar,1,144
Silk Road Fund,silk-road-fund,Silk Road Fund,FALSE,,Central SOE,"Fondo estatal BRI (SAFE 65% / CIC 15% / EXIM 15% / CDB 5%). Fuente: Wikipedia Silk Road Fund -> OWNERSHIP CORREGIDO a SASAC segun legacy/data/latam.json (clasificacion original ICLAC, investor=Silk Road Fund), reemplaza estimacion web previa (era SOE).",1,140
China Great Wall Industry Corporation,china-great-wall-industry,China Great Wall Industry,FALSE,,Central SOE,Aeroespacial: filial 100% de CASC (SASAC central). HOMONIMO: NO fusionar con Great Wall Motor. Fuente: Wikipedia CGWIC/CASC,1,140
Foton Motor,foton-motor,Foton Motor,FALSE,,Local SOE,Beiqi Foton - filial de BAIC Group (SOE municipal Beijing). Fuente: Wikipedia Foton,3,139
China Construction America and MCM,china-construction-america-and-mcm,China Construction America and MCM,TRUE,china-state-construction-engineering-corporation|mcm,MIXED,"CONSORCIO. CCA (filial CSCEC, SASAC) + MCM (socio local). Definir atribucion",1,137
Baiyin and Shougang,baiyin-and-shougang,Baiyin and Shougang,TRUE,baiyin-nonferrous-group-co-ltd|shougang,MIXED,CONSORCIO. Baiyin Nonferrous (SOE Gansu) + Shougang (SOE Beijing). Definir atribucion,1,132
CGN Brazil,china-general-nuclear-power-group,China General Nuclear Power,FALSE,,Central SOE,"Filial Brasil de China General Nuclear (CGN), SASAC central. Recomendacion: agrupar bajo china-general-nuclear-power-group -> FUSIONADO a id china-general-nuclear-power-group (decision 2 aprobada, 2026-07-01).",1,131
Noble Group,noble-group,Noble Group,FALSE,,POE,Trading commodities cotizado Singapur (no estatal chino; fundador Richard Elman). Verificar pertinencia como inversor chino,2,130
Bank of China,bank-of-china,Bank of China,FALSE,,Central SOE,Banco estatal Big Four (Central Huijin). Fuente: Wikipedia BOC,4,112
Shougang,shougang,Shougang,FALSE,,Local SOE,SOE municipal Beijing (Shougang Group / Capital Steel). Fuente: Wikipedia Shougang,1,110
ICBC,industrial-and-commercial-bank-of-china,Industrial and Commercial Bank of China,FALSE,,Central SOE,"Banco estatal Big Four. -> FUSIONADO a id industrial-and-commercial-bank-of-china (mismo banco, sigla vs nombre completo; confirmado Francisco por WhatsApp, 2026-07-07, tras aclarar el malentendido del correo).",1,109
Zhongrong Xinda and Jiangtong Group,zhongrong-xinda-and-jiangtong-group,Zhongrong Xinda and Jiangtong,TRUE,zhongrong-xinda|jiangtong-group,MIXED,CONSORCIO. Zhongrong Xinda (privada) + Jiangtong/Jiangxi Copper (SOE provincial). Definir atribucion,1,106
Jinko Solar,jinko-solar,JinkoSolar,FALSE,,POE,Privada: fabricante solar cotizado NYSE (Li Xiande). Fuente: Wikipedia JinkoSolar,1,104
Guangxi Road and Bridge,guangxi-road-and-bridge,Guangxi Road and Bridge,FALSE,,Local SOE,"FALSO 'and'. SOE provincial Guangxi (Guangxi Communications Investment Group). Verificar -> OWNERSHIP CORREGIDO a SASAC segun legacy/data/latam.json (clasificacion original ICLAC, investor=Guangxi Road and Bridge), reemplaza estimacion web previa (era SOE).",1,103
Harbin Electric,harbin-electric,Harbin Electric,FALSE,,Central SOE,SASAC central SOE (Harbin Electric Corporation). Fuente: SASAC,1,101
China Dalian International,china-dalian-international,China Dalian International Economic & Technical Cooperation,FALSE,,Local SOE,SOE municipal Dalian (CDIG). Verificar,3,101
Shaanxi Automobile Group,shaanxi-automobile-group,Shaanxi Automobile,FALSE,,Local SOE,"SOE provincial Shaanxi (Shacman). Fuente: Wikipedia Shaanxi Automobile -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Shaanxi Automobile Group), reemplaza estimacion web previa (era SOE).",1,100
Jiangsu Communication Clean Energy,jiangsu-communication-clean-energy,Jiangsu Communication Clean Energy,FALSE,,POE,"Control ultimo no confirmado (probable SOE provincial Jiangsu). Verificar -> OWNERSHIP CORREGIDO a POE segun legacy/data/latam.json (clasificacion original ICLAC, investor=Jiangsu Communication Clean Energy (CCETC)), reemplaza estimacion previa (era UNKNOWN).",1,100
Alibaba,alibaba,Alibaba,FALSE,,POE,Privada: cotizada NYSE/HKEX (Jack Ma fundador). Fuente: Wikipedia Alibaba,1,100
Zotye Holding Group,zotye-holding-group,Zotye Automobile,FALSE,,POE,Privada: automotriz (Tieniu Group / Ying Jianren). Fuente: Wikipedia Zotye,2,98
China Three Gorges and China International Water & Electric Corporation,china-three-gorges-and-china-internation,China Three Gorges and China International Water & Electric,TRUE,china-three-gorges|china-three-gorges,MIXED,"CONSORCIO. CTG + CWE (CWE es filial de CTG -> mismo grupo SASAC, posible doble conteo matriz-filial). Definir atribucion",1,90
